 buyer_id |           name            |   budget   
      253 | Julie Palmer              | 1097625.81
      262 | Francis Dudley II         | 1366546.49
      265 | Carol Chan                | 1345894.52
      273 | Diana Rodriguez           | 1194602.48
      276 | Julie Collins             | 1167668.38
      279 | Shannon Martinez          |  1326283.2
      282 | Henry Wheeler             |  1388240.5
      286 | Austin Jones              | 1441139.22
      287 | Jennifer Gray             | 1276949.92
      298 | Susan Walker              | 1079807.66
      299 | Jason Palmer              |  1065949.2
      300 | David Howell              | 1466574.62
      301 | Hannah Wong               | 1423562.55
      307 | Robert Gonzalez           | 1403319.05
      309 | Karen Young               | 1351583.26
      310 | Jennifer Elliott          | 1425245.71
      312 | Mark Lane                 | 1482941.42
      319 | Desiree Hicks             | 1209894.61
      325 | Morgan Fry                | 1474850.95
      328 | Lisa Graves               | 1080720.84
      331 | Brenda David              | 1149996.67
      339 | David Reed                |  1073403.6
      340 | Brenda Stephenson         | 1075598.53
      342 | Maria Galloway            | 1295077.33
      345 | Austin Cook               | 1106763.95
      348 | Emily Gonzales            | 1386286.56
      349 | Megan West                | 1227665.24
      350 | William Lee               | 1306070.79
      352 | Mitchell Christensen      | 1228717.32
      356 | Diane Johnson             | 1190427.35
      358 | Ronald Powell             | 1131104.94
      359 | Elizabeth Herman          | 1318223.43
      363 | Brittney Collier          | 1200584.29
      365 | Stanley Johnson           | 1085806.68
      366 | Richard Burton            | 1385203.04
      368 | James Moreno              | 1431948.69
      371 | Hannah Herrera            | 1103770.85
      374 | Steven Anderson           | 1091532.68
      377 | Laura Sanchez             | 1046623.07
      380 | Dawn Smith                |  1463866.5
      383 | Gary Morrison             | 1079953.83
      384 | Matthew Johnson           | 1166333.13
      386 | Jonathan Parks            | 1158800.74
      388 | Andrew Hawkins            | 1270456.57
      392 | Peter Harvey              | 1129620.42
      401 | Bryce Burns               | 1179940.55
      402 | David Benjamin            | 1077306.37
      403 | Daniel Graves DDS         | 1049473.77
      405 | Ebony Sandoval            | 1275615.25
      408 | Makayla Savage            | 1168777.47
      416 | Laurie Oconnell           | 1133002.87
      418 | David Hernandez           | 1322706.46
      422 | Sydney Thompson           | 1367507.23
      432 | Paula Patel               | 1426263.25
      436 | Heidi Oliver              | 1088433.75
      439 | James Anthony             | 1225070.86
      446 | Austin Wilson             | 1114659.45
      447 | Richard Grant             | 1309736.55
      452 | David Munoz               | 1063594.49
      454 | Nicholas Nichols          | 1201528.59
      456 | Robert Allen              | 1077661.37
      457 | Elizabeth Burgess         | 1451663.46
      459 | Jennifer Keller           | 1091346.84
      462 | Dr. Robert Mason II       | 1346779.87
      470 | Linda Sullivan            | 1207794.21
      471 | Christine Thornton        | 1096670.67
      472 | Shelby Kaiser             |  1286881.9
      477 | Ashley Williams           | 1197157.98
      483 | Michael Kramer            | 1126787.89
      490 | Joshua Ross               | 1167323.08
      497 | Bradley Smith             | 1088815.42
      511 | Amanda Hopkins            | 1099129.77
      516 | Benjamin Robinson         | 1461247.21
      518 | Carl Peterson             | 1151190.97
      521 | Monica Snyder             | 1205620.18
      523 | Brian Jackson             | 1240109.81
      528 | Peter Hines               | 1280050.45
      531 | Ralph Lopez               | 1429952.43
      534 | William Simmons           |  1038368.2
      537 | Angela Nunez              | 1100639.04
      542 | Nichole Graves            |  1082553.9
      543 | Timothy Stevens           | 1334305.74
      544 | Megan Lee                 | 1358010.56
      547 | Gabriel Alexander         | 1141955.45
      550 | Anthony Wolfe             | 1268751.28
      556 | Brittany Watson           | 1040584.92
      559 | Teresa Chavez             | 1139938.77
      561 | Stephanie Mendoza         | 1129983.54
      562 | Heather Lowe              | 1266101.58
      564 | Lauren Dominguez          | 1245004.41
      567 | Todd Woods                | 1346289.12
      570 | Marvin Scott              | 1261422.07
      575 | Doris Hudson              | 1389146.53
      577 | Joseph Logan              | 1213004.45
      578 | Shannon Callahan          | 1300302.64
      580 | Robert Cook               |  1338177.3
      582 | Joshua Wilson             | 1425501.96
      584 | Timothy Sanford           | 1120247.52
      587 | Logan Moran               | 1459316.28
      590 | Heather Kennedy           | 1178621.16
      594 | Wayne Tucker              | 1141964.75
      595 | Shane Herman              | 1209867.54
      599 | Zachary Edwards           | 1072886.01
      602 | Michael Contreras         | 1124007.63
      604 | Daniel Gonzales           | 1049226.97
      606 | Robert Thompson           |  1262631.7
      610 | Amber Cortez              | 1093862.44
      613 | Kristin Hanson            | 1448465.45
      615 | Kelli Jones               |  1234495.5
      617 | Katrina Phillips          | 1269549.47
      620 | Cody Benjamin             | 1101797.05
      623 | Cody Aguilar              | 1248999.88
      625 | Tiffany James             | 1362549.25
      631 | Kathryn Frazier           |  1174238.6
      632 | Sarah Roberson            | 1239918.47
      633 | Joann Carlson             | 1045994.98
      636 | Kelly Leach               | 1338681.29
      637 | Dustin Baker              | 1394606.71
      639 | Christopher Walker        | 1306519.94
      640 | Ruben Swanson             | 1345637.27
      644 | Jennifer Richardson       |    1291537
      646 | Lisa Garcia               | 1254559.71
      648 | Dr. Susan James           | 1333012.22
      652 | Deborah Turner            | 1030491.72
      653 | Laura Underwood           | 1135595.77
      654 | Valerie Torres            | 1093654.16
      656 | Shane Scott               | 1124596.58
      660 | Kristen Martinez          | 1149756.84
      661 | Mrs. Heidi Carter         | 1152191.72
      664 | Matthew Harris            | 1353328.09
      665 | Joshua King               | 1102682.64
      666 | Sarah Smith               | 1219909.29
      668 | Thomas Dickson            | 1072912.35
      672 | Jeffrey Young             |  1432170.8
      680 | Michael Donaldson         | 1076945.92
      686 | Caitlyn Lucas             | 1467818.85
      689 | Stephen Alvarado          | 1305644.82
      690 | Barbara Lucas             | 1154085.14
      693 | Jeffrey Alexander         | 1428771.23
      696 | Gabriel Anderson          | 1162669.26
      699 | Darryl Ramsey             | 1113990.09
      705 | Michael Obrien            | 1296499.07
      709 | Mrs. Christine Jackson    | 1193168.87
      712 | Robert Odom               | 1075983.47
      713 | Dustin York               | 1221830.75
      716 | Sarah Bryant              | 1077503.19
      721 | Amanda Rhodes             |  1061530.3
      724 | Carl Hobbs                | 1186036.16
      725 | John Ramirez              | 1367573.95
      730 | Mary Barnes               | 1231785.91
      745 | Megan Hooper              | 1369262.74
      748 | Valerie Flowers           | 1030497.33
      762 | Kristen Hardy             | 1304819.96
      769 | Joseph Acevedo            | 1300983.88
      770 | Joseph Walsh              | 1305659.66
      774 | Justin Marshall           | 1275679.33
      775 | Melvin Young              | 1412651.97
      778 | Melissa Hickman           |  1192884.8
      780 | Dr. Jacqueline Hunt       | 1403091.97
      782 | Robert Shaffer            | 1148051.91
      784 | Tracey Osborne            |  1344241.8
      785 | Stephanie Rogers          | 1320619.67
      788 | Elizabeth Lyons           | 1182338.84
      791 | Erik Martinez             | 1086264.12
      792 | Kaitlyn Hunt              |  1182085.3
      795 | Bridget Lewis             | 1229535.94
      798 | Thomas Clayton            | 1297530.46
      800 | James Dillon              | 1160384.79
      802 | Tonya Wright              |  1392835.6
      806 | Chad Durham               | 1465317.31
      810 | David Reynolds            | 1324652.12
      812 | Jordan Newman             | 1397547.77
      813 | Dawn Scott                | 1370104.68
      820 | John Hancock              | 1346770.55
      821 | Timothy Randolph          | 1223142.19
      823 | Larry Hernandez           | 1060371.52
      828 | Shawn Edwards             | 1326603.94
      830 | Patrick Farley            | 1205923.04
      832 | James Mcfarland           | 1233408.49
      834 | Eric Lopez                | 1103858.03
      838 | Karen Lee                 | 1453119.19
      839 | William Sanchez           | 1477414.59
      841 | Carrie Brown              | 1398927.99
      842 | Wayne Tate                | 1408651.43
      846 | Christopher Harris        | 1474208.69
      847 | Julie Griffith            | 1474375.33
      855 | Daniel Montes             | 1197418.89
      857 | Adrienne Smith            | 1347836.15
      860 | Stuart Thompson           | 1107400.74
      864 | Jeffrey Bradford          | 1398992.16
      865 | Diane Perez PhD           | 1277075.19
      872 | Lisa Murray               |  1470141.5
      873 | Jennifer Thompson         | 1233370.47
      877 | Timothy Brown             | 1384675.75
      879 | Bryan Carter              | 1039626.23
      881 | Kenneth Lewis             | 1289425.36
      883 | Eric Jacobs               | 1286195.09
      884 | Shannon French            | 1097395.02
      886 | Daniel Adams              | 1290820.93
      896 | Faith Patrick             | 1056589.82
      897 | Trevor White              | 1203297.93
      900 | Brandon Farrell           |  1100907.3
      902 | Thomas Matthews           | 1444917.11
      903 | Douglas Martinez          | 1409371.74
      917 | Amy Glover                | 1284263.57
      932 | Cynthia Phillips          | 1418822.55
      939 | Mrs. Jennifer Arroyo      | 1112491.89
      943 | Mitchell Lynch            | 1172889.48
      944 | Christopher Jenkins       | 1238628.07
      948 | Zachary Baker             | 1285151.96
      949 | Tina Zamora               | 1306363.61
      953 | Daniel Valenzuela         | 1098801.57
      958 | William Spencer           | 1048535.58
      962 | Katrina Vincent           | 1420599.48
      963 | Jonathan Harrison         | 1200938.61
      964 | Elizabeth Kelly MD        |  1105698.2
      965 | Peter Vasquez             | 1152283.77
      966 | Holly Wallace             | 1411618.15
      970 | Christopher Gomez         | 1492600.43
      976 | Erica Ortiz               | 1150486.51
      977 | David Thomas              | 1311276.05
      981 | Monique Morris            | 1365129.15
      983 | Nancy Martinez            | 1098046.39
      984 | Susan Jones               | 1335336.81
      987 | Courtney Chang            | 1355854.41
      990 | Kristi Richardson         | 1341865.14
      994 | William Smith             | 1407568.05
     1008 | Melissa Flynn             | 1161889.47
     1009 | Laurie Jones              | 1169095.51
     1010 | Erik Reed DVM             | 1032848.02
     1011 | David Simpson             | 1120130.22
     1013 | Dennis Ortiz              | 1406126.62
     1029 | Joshua Campbell           | 1201817.01
     1031 | Nicole Salinas            |  1394750.5
     1035 | Russell Mccoy             | 1290831.36
     1037 | John Turner               | 1344838.42
     1040 | Jeremy Brown              |  1054740.2
     1043 | Brian Lloyd               | 1189614.56
     1048 | Erin Taylor               | 1487838.06
     1049 | Joseph Young              | 1432940.63
     1050 | Toni Ortiz                | 1222343.32
     1053 | Erin Fox                  | 1333044.62
     1055 | Joseph Holden             | 1396472.29
     1061 | Mr. Edward Garcia         | 1427888.27
     1063 | Mr. Terry Thomas          | 1396574.31
     1066 | Elizabeth Jacobson        | 1469702.07
     1067 | Heather Russell           | 1412631.63
     1069 | Jane Jones                | 1330748.18
     1070 | Jose Graves               | 1398969.72
     1074 | Michelle Bennett          | 1226341.32
     1078 | Megan Eaton               | 1214672.02
     1081 | Joanna Mcdonald           | 1408123.95
     1085 | Jessica Clark             | 1477181.49
     1086 | Daniel Church             | 1050235.61
     1089 | Devin Cain                | 1350031.62
     1093 | Alyssa Hammond            | 1205359.76
     1094 | Christine Smith           | 1253867.29
     1104 | Travis Schwartz           | 1293019.01
     1106 | Brandon Simon             | 1234379.11
     1107 | David Gates               | 1432386.41
     1109 | Vanessa Wu                | 1240493.23
     1110 | Robin Williams            | 1229752.21
     1111 | Gabrielle West            | 1211960.51
     1112 | Mario Myers               | 1032757.51
     1114 | Gregory Watson            | 1084528.46
     1116 | Kyle Davis                | 1325198.28
     1120 | Daniel Cervantes          | 1062816.13
     1123 | Kevin Dennis              | 1401822.58
     1124 | Cheryl Burnett            | 1419610.22
     1125 | Richard Conner            | 1121132.64
     1126 | Kenneth Mcdonald          | 1412410.68
     1127 | Danielle Hoffman          | 1353825.49
     1131 | Richard Williams          | 1277569.89
     1134 | Cynthia Ray               |  1197214.7
     1136 | Travis Jacobs             | 1143393.76
     1138 | Robert Lopez              | 1441291.16
     1139 | Nathan Figueroa           | 1315387.41
     1141 | Andrea Franklin           |  1436005.4
     1146 | Russell Jimenez           | 1370229.65
     1148 | Crystal Smith             | 1179203.92
     1150 | Luis Cox                  | 1220292.08
     1155 | Angela Brewer             | 1300883.72
     1157 | Sheila Harris             | 1345420.92
     1160 | Sharon Dunn               | 1220391.22
     1161 | Kenneth Tyler             | 1449799.53
     1163 | John Vasquez              | 1495506.16
     1168 | Krystal Clarke            | 1400667.77
     1170 | Jennifer Campbell         | 1268723.04
     1172 | Ryan Perry                | 1348118.47
     1173 | Jennifer Jenkins          | 1243430.77
     1174 | Joseph Miles              |  1366132.6
     1180 | Henry Michael             | 1223347.65
     1182 | Rachel Ferguson           | 1415883.67
     1184 | Chelsea Graham            | 1203191.37
     1185 | Randy Harris              | 1028639.87
     1186 | Natalie Middleton         | 1484415.75
     1189 | Sarah Bonilla             | 1297327.43
     1196 | Kayla Williams            | 1403514.77
     1203 | Anthony Powell            | 1068180.49
     1205 | Tammy Keller              | 1322509.62
     1206 | Gregory Hill              | 1435019.74
     1207 | Angelica Fischer          | 1190130.82
     1208 | Catherine Day             | 1451201.14
     1209 | Jessica Dougherty         | 1170860.41
     1216 | Heather Robertson         | 1229242.66
     1217 | Kristy Khan               | 1422917.01
     1219 | Samantha Miller           | 1226125.47
     1220 | Robin Walton              | 1488972.17
     1224 | Sonya Chen                | 1487558.95
     1226 | Robert Schroeder          | 1294908.72
     1228 | Michael Warren            | 1186207.04
     1231 | Samantha Williams         | 1182848.73
     1233 | Jeffery Boyle             | 1268315.63
     1240 | Raymond Diaz              | 1407488.07
     1242 | Kim Mcdonald              | 1457417.22
     1245 | David Hall                | 1172575.21
     1248 | Kyle Hanson               | 1116265.15
     1250 | Barry Rivera              | 1200604.71
     1255 | James Brown               | 1030753.13
     1256 | Justin Harvey             | 1074269.49
     1257 | Justin Garcia             | 1498993.04
     1259 | David Gibson              | 1473834.37
     1263 | Angelica Howard           | 1473755.41
     1265 | Jody King                 | 1317306.84
     1268 | Laura Sanchez             | 1464494.73
     1274 | Lauren Carney             | 1156776.88
     1275 | Ryan Stewart              | 1236207.94
     1276 | Hannah Beasley            | 1409293.03
     1279 | Sheena Wiley              | 1353456.14
     1284 | John Atkins               | 1428577.36
     1289 | Jane Tyler                | 1415520.04
     1292 | Terri Gillespie           | 1080976.45
     1295 | Karen Gomez               |  1091426.1
     1296 | Christine Lopez           | 1133006.34
     1299 | Diana Russell             | 1325101.84
     1300 | Marcus Gutierrez          | 1212525.42
     1310 | Robert Brown              | 1089666.11
     1314 | Brian Moore               | 1145499.89
     1316 | Julie Bailey              | 1240224.72
     1320 | Yesenia Rocha             | 1142832.21
     1326 | Alexander Colon           | 1261958.99
     1330 | Lisa Simon                | 1199836.47
     1333 | Heather Morales           | 1052440.34
     1337 | Rebecca Taylor            | 1301359.02
     1339 | Nicholas Lee              | 1428800.21
     1343 | Melissa Stokes            | 1147654.04
     1352 | Justin Hansen             | 1063803.27
     1353 | Michael Day               | 1275255.16
     1362 | Brooke Hunt               | 1065870.99
     1363 | Matthew Ferguson          | 1306803.37
     1364 | April Rivera              | 1219245.87
     1366 | Evan Sims                 | 1440015.78
     1369 | Paul Parks                | 1160831.69
     1370 | Tiffany Ramirez           | 1403920.28
     1372 | John Yang                 | 1390558.47
     1376 | David Stevens             | 1177561.14
     1380 | Alexander Ray             | 1109233.07
     1401 | Carla Jones               | 1385484.84
     1404 | Vanessa Bray              | 1350343.83
     1407 | James Rosales             | 1227582.12
     1409 | Ariel Johnson             |  1413580.4
     1413 | Hannah Wagner             | 1120130.43
     1414 | Lisa Bartlett             | 1243891.58
     1415 | Shawn Payne               |  1214011.2
     1419 | Andrew Nunez              | 1074930.72
     1420 | Angela Johnson            | 1154658.34
     1421 | Sheila Ruiz               | 1074314.61
     1422 | Julie Stephenson          | 1134460.98
     1425 | Kyle Pierce               | 1251239.64
     1426 | Richard Huff              |    1132465
     1432 | Duane Flores              | 1116041.38
     1434 | Raymond Juarez            | 1159225.15
     1435 | Taylor Le                 | 1268644.95
     1437 | Erica Sanchez             | 1267067.54
     1441 | Jasmine Schneider         |  1280070.8
     1447 | Jasmine Patel             | 1099211.23
     1449 | Christopher Austin        | 1358565.08
     1450 | Heather Benton            | 1478170.53
     1455 | Clayton Cardenas DDS      | 1271366.04
     1461 | Cynthia Day               | 1324614.64
     1462 | Amy Foster                | 1215242.52
     1463 | Diana Johnson             | 1361163.32
     1464 | Jennifer Wiggins          | 1131805.01
     1465 | Brandon Herrera           | 1429387.66
     1467 | Maria Carr                | 1373066.17
     1468 | Renee Miller              | 1097428.56
     1471 | Arthur Clark DDS          | 1218520.05
     1472 | Charles Gray              | 1371201.76
     1473 | Brooke Hernandez          | 1301624.42
     1474 | Matthew Leonard           | 1338189.42
     1479 | Chase Lewis               | 1259354.15
     1482 | Donald Powers             | 1078285.73
     1485 | Connie Patel              | 1109287.77
     1490 | Robert Sawyer             | 1192066.58
     1491 | Tammy Butler              | 1067236.96
     1495 | Dustin Miller MD          | 1063138.96
     1496 | Norma Morris              | 1434324.12
     1499 | Linda Solomon             |  1202452.1
     1501 | Devon Long                | 1483764.07
     1503 | Richard Castillo          | 1212565.39
     1519 | Jamie Munoz               | 1113458.92
     1523 | Anthony Jackson           | 1216780.18
     1527 | Cheryl Fuller             | 1199195.87
     1528 | Dr. James Estrada         | 1121439.56
     1529 | Joshua Norton             | 1100003.35
     1535 | John Reynolds             | 1181313.07
     1536 | Ronald Anderson           | 1434347.62
     1539 | Matthew Martin            | 1399394.04
     1542 | Douglas Campos            |  1381328.9
     1544 | Melissa Vega              | 1447012.87
     1548 | Colleen Foster            | 1105453.96
     1554 | Rebecca Welch             | 1116385.46
     1556 | Tyler Walsh               | 1033770.56
     1559 | Christopher Santiago      | 1159071.24
     1561 | Mark Clay                 | 1283055.44
     1563 | Robert Palmer             | 1445083.11
     1565 | Andrew Lopez              | 1250851.68
     1566 | Joshua Pierce             | 1423633.99
     1568 | Laurie Bryant             | 1424598.41
     1569 | Lindsey Hines             | 1160721.21
     1571 | Francisco Sutton          | 1109573.78
     1574 | Kevin Martin              |  1442905.8
     1578 | Mary Walker               | 1308317.86
     1581 | Kyle Garcia               | 1180851.66
     1589 | Raymond Moore             | 1061558.44
     1590 | Daniel Anderson           | 1490376.44
     1595 | Kevin Ballard             | 1336872.35
     1597 | Jennifer Kemp             | 1229386.99
     1602 | Gregory Herrera           | 1465826.36
     1604 | Joshua Hodge              | 1050296.15
     1608 | Michael Bell              | 1296738.94
     1610 | Katherine Peterson        | 1385382.55
     1611 | Laurie Peck               | 1165895.02
     1612 | Robert Whitehead          |  1161757.7
     1613 | Mary Williams             | 1487990.74
     1615 | Ashley Dennis             | 1301729.84
     1616 | Sharon White              |  1108400.5
     1617 | Kelly Bradford            | 1348553.45
     1618 | Deborah Sparks            | 1376115.26
     1619 | Alicia Fernandez          |  1248488.4
     1621 | Robert Howell             | 1190086.22
     1626 | Amy Sanders               | 1083974.04
     1627 | Susan Arroyo              | 1120965.62
     1629 | Jamie Cannon              | 1371111.58
     1630 | Marco Glover              | 1335193.78
     1636 | Wesley Avery              | 1319178.24
     1637 | Paul Williams             | 1180614.38
     1641 | Christopher Roberts       | 1273291.32
     1650 | Joshua Cook               | 1073583.91
     1653 | Adrienne Glenn            |  1261416.3
     1660 | William Wilson            |  1414383.3
     1661 | Pamela Mcclain            | 1324760.73
     1664 | Christine Willis          | 1338355.44
     1665 | Terry Johnson             | 1245441.23
     1668 | Andrea Harris MD          | 1416432.94
     1670 | Michael Alvarez           | 1174632.49
     1671 | Jessica Jones             | 1356491.08
     1679 | Jacqueline Wallace        | 1263948.15
     1680 | Danielle Lawrence         | 1149528.68
     1682 | Frederick Gonzales        |  1354904.7
     1683 | Marc Mills                | 1211335.92
     1684 | Mindy Gallagher           | 1192340.57
     1686 | Kristy Taylor             | 1307967.16
     1687 | Michael Taylor            | 1131321.37
     1692 | Kristi Page               | 1033836.05
     1693 | Katie King                | 1067550.89
     1697 | Craig Jenkins             | 1224601.13
     1699 | Christopher Martin        | 1100513.88
     1700 | Ryan Smith                | 1488651.74
     1701 | Jose Potts                | 1230254.79
     1702 | Michelle Hendrix          |  1158706.2
     1706 | Shannon Clark             | 1317411.99
     1709 | James Jones               | 1144426.62
     1710 | Brian Jacobson            | 1049591.01
     1713 | Christopher Martinez      | 1196943.06
     1718 | Joshua Liu                | 1342273.77
     1720 | Kathy Hoffman             | 1434603.87
     1723 | Diana Murray              | 1186776.29
     1725 | Stephanie George          | 1444879.25
     1730 | Roger Rivera              | 1169308.26
     1732 | Dennis Arias              | 1148987.18
     1739 | Lori Williams             |  1159817.1
     1740 | Terri Oliver              | 1259219.05
     1741 | Sandra Powell             | 1444028.75
     1743 | Ashley Anderson           | 1363147.91
     1754 | Terri Ramirez             | 1232238.99
     1755 | Antonio Gutierrez         | 1040816.27
     1756 | Joseph Wilson             | 1335201.63
     1757 | Christopher Weiss         | 1230125.45
     1760 | David Thomas              | 1188106.06
     1763 | Jessica Wilson            | 1289668.95
     1765 | Amy Walker                | 1296491.69
     1768 | Jennifer White            | 1293090.86
     1774 | Sandra Cole               | 1240039.25
     1775 | Lisa Barrett              | 1252984.76
     1782 | Pamela Baird              | 1183116.05
     1784 | Danielle Jackson          |  1429193.2
     1792 | William Hernandez         | 1339609.72
     1794 | Stephanie Weeks           |  1039950.8
     1797 | Kristopher Waller         | 1144208.23
     1798 | Julie Wright              | 1114983.43
     1799 | Tracy Park                | 1391960.46
     1800 | Kevin Washington          | 1474775.44
     1801 | Dwayne Vance              | 1078992.45
     1804 | Elizabeth Smith           | 1044485.39
     1808 | Jennifer Farrell          | 1435870.55
     1812 | Duane Campbell            | 1398033.53
     1814 | Lisa Davis                | 1049245.78
     1817 | Ms. Monica Jacobson PhD   | 1150472.75
     1818 | Christopher Navarro       | 1255234.32
     1821 | Anthony Baker             | 1467006.35
     1826 | Linda Lowery              |  1116381.3
     1827 | Grant Caldwell            | 1310381.17
     1830 | Laura Lane                |    1462310
     1832 | Joann Mcpherson           | 1492900.39
     1837 | Daniel Flores             | 1367059.91
     1838 | Jeremy Shelton            |  1034186.9
     1839 | Bradley Lewis             | 1381238.74
     1842 | Christopher Middleton     | 1351972.72
     1848 | Joshua Osborn             | 1198152.36
     1850 | Brianna Rodriguez         | 1161029.84
     1851 | Shawn Stephens            | 1324626.55
     1853 | Sheri Stark               |  1287306.5
     1857 | Joyce Hart                | 1443674.34
     1861 | Mary Campbell             | 1053043.43
     1866 | James Miranda             | 1304141.48
     1873 | Arthur Meyer              | 1050245.97
     1876 | Taylor Lewis              | 1411882.27
     1883 | Paul Thomas               | 1156948.22
     1885 | Dr. Raymond Pope          | 1181599.25
     1888 | Dr. Robert Davis          | 1196689.06
     1889 | Rebecca White             | 1434321.67
     1890 | Sally Pollard             | 1349047.18
     1891 | Michael Hanson            | 1291221.44
     1892 | Lauren Griffith           | 1431959.98
     1893 | Jackie Hernandez          | 1121491.51
     1894 | Elizabeth Jackson         | 1278469.44
     1895 | Glenn Barr                | 1465013.07
     1896 | Virginia Murray PhD       | 1103451.48
     1899 | William Thompson          | 1335487.64
     1900 | Charlotte Willis          | 1284589.75
     1906 | Todd Kelley               | 1073392.51
     1911 | John Williams             | 1176750.23
     1914 | Steven Keller             |  1192347.1
     1916 | Patrick Davis             | 1029169.08
     1922 | Maria Ortiz               | 1283715.79
     1925 | Alyssa Parker             | 1206739.22
     1929 | James Jackson             | 1209367.33
     1931 | Thomas Hodges             | 1336228.65
     1932 | Eric Ellis                | 1352603.42
     1933 | Tiffany Mendez            | 1157794.01
     1937 | Travis Anderson           | 1042215.74
     1940 | Heather Patel             | 1293474.24
     1947 | Sarah Clark               | 1056935.82
     1948 | Shelby Smith              | 1285440.36
     1949 | Justin Mullins            | 1262431.72
     1950 | Harold Coleman            | 1312808.99
     1952 | Tanya Gordon              | 1408350.84
     1955 | Angela Diaz               | 1382395.98
     1957 | Patrick Fernandez         | 1111389.18
     1965 | Meghan Massey             | 1304630.28
     1970 | Lindsey Greene            | 1438762.57
     1973 | John Valdez               | 1182204.54
     1974 | Billy Pitts               | 1254806.79
     1977 | Christopher Jenkins       | 1328850.09
     1978 | Amy Perez                 | 1254060.01
     1979 | Brian Martinez            | 1396846.07
     1980 | Jason Alvarez             | 1379432.56
     1989 | Robert Harris             | 1258639.08
     1992 | Robert Sullivan           | 1340538.44
     1998 | Laurie Butler             | 1075976.29
     1999 | Leah Nunez                | 1223335.54
     2000 | Danielle Jenkins          | 1430541.51
     2004 | Henry Delgado             | 1074510.42
     2007 | Kara Suarez               | 1160870.73
     2012 | Terrence Roberts          | 1409243.57
     2013 | Caitlin Hernandez         | 1232737.04
     2015 | Benjamin Rhodes           | 1309648.19
     2021 | Meredith Scott            |  1476415.5
     2025 | April Kim                 | 1215243.43
